 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.974E-01                                       6.935E+03   1.508E+01 
    2   1.148E+01                                       3.258E+03   7.106E+00 
    3   1.000E+02   6.807E+00   1.753E+00               1.657E+02   1.790E-01 
    4   1.871E+02   2.145E+01   3.395E+00   1.848E-01   3.730E+00   2.872E-03 
    5   2.107E+02   2.208E+01   3.392E+00   1.810E-01   1.800E+01   1.341E-02 
    6   1.799E+02   2.132E+01   3.400E+00               2.867E+02   3.075E-01 
    7   1.820E+02   2.139E+01   3.395E+00   1.801E-01   3.706E+01   2.717E-02 
    8   1.677E+02   2.050E+01   3.390E+00   1.789E-01   3.177E+01   2.380E-02 
    9   1.873E+02   2.095E+01   3.390E+00   1.781E-01   2.995E+01   2.260E-02 
   10   1.878E+02   2.085E+01   3.388E+00   1.774E-01   2.956E+01   2.225E-02 
   11   1.742E+02   2.012E+01   3.387E+00   1.767E-01   2.209E+01   1.661E-02 
   12   1.715E+02   1.970E+01   3.383E+00   1.759E-01   1.748E+01   1.312E-02 
   13   1.438E+02   1.835E+01   3.381E+00   1.744E-01   2.905E+01   2.128E-02 
   14   1.758E+02   1.909E+01   3.388E+00               2.399E+02   2.557E-01 
   15   1.625E+02   1.858E+01   3.379E+00   1.734E-01   3.072E+01   2.230E-02 
   16   1.575E+02   1.734E+01   3.375E+00   1.727E-01   3.373E+01   2.449E-02 
   17   1.565E+02   1.765E+01   3.377E+00   1.737E-01   2.330E+01   1.687E-02 
   18   1.467E+02   1.662E+01   3.373E+00   1.727E-01   3.254E+01   2.379E-02 
   19   1.422E+02   1.627E+01   3.371E+00   1.734E-01   3.235E+01   2.373E-02 
   20   1.381E+02   1.636E+01   3.371E+00   1.744E-01   2.383E+01   1.734E-02 
   21   1.432E+02   1.627E+01   3.370E+00   1.752E-01   1.419E+01   1.045E-02 
   22   1.194E+02   1.534E+01   3.369E+00   1.739E-01   1.736E+01   1.273E-02 
   23   1.316E+02   1.572E+01   3.370E+00   1.731E-01   2.986E+01   2.196E-02 
   24   1.325E+02   1.576E+01   3.370E+00   1.729E-01   3.187E+01   2.341E-02 
   25   1.366E+02   1.616E+01   3.371E+00   1.733E-01   3.297E+01   2.408E-02 
   26   1.353E+02   1.634E+01   3.373E+00   1.741E-01   3.068E+01   2.273E-02 
   27   1.412E+02   1.684E+01   3.375E+00   1.749E-01   2.995E+01   2.234E-02 
   28   1.305E+02   1.718E+01   3.380E+00   1.756E-01   3.061E+01   2.279E-02 
   29   1.520E+02   1.862E+01   3.384E+00   1.767E-01   2.919E+01   2.194E-02 
   30   1.696E+02   2.005E+01   3.388E+00   1.776E-01   2.732E+01   2.037E-02 
   31   1.785E+02   2.126E+01   3.389E+00   1.795E-01   1.416E+01   1.071E-02 
   32   1.962E+02   2.233E+01   3.391E+00   1.834E-01   1.946E+00   1.493E-03 
   33   1.817E+02   2.155E+01                           3.507E+03   1.697E+01 
   34   1.956E+02                                       2.613E+03   1.052E+01 
   35   1.951E+02   2.769E+01                           1.109E+03   5.326E+00 
   36   1.852E+02   2.276E+01                           2.738E+03   1.324E+01 
   37   1.650E+02   2.152E+01   3.391E+00               3.297E+02   3.534E-01 
   38   1.523E+02   2.010E+01   3.389E+00   1.788E-01   9.050E+00   6.853E-03 
   39   1.458E+02   1.784E+01   3.384E+00               3.233E+02   3.453E-01 
   40   1.588E+02   1.670E+01   3.373E+00   1.764E-01   1.914E+01   1.414E-02 
   41   1.428E+02   1.608E+01   3.370E+00   1.765E-01   1.377E+01   1.023E-02 
   42   1.243E+02   1.539E+01   3.369E+00   1.779E-01   6.759E+00   5.102E-03 
   43   1.047E+02   1.461E+01   3.368E+00   1.763E-01   1.961E+01   1.425E-02 
   44   1.497E+02                                       8.962E+03   2.495E+02 
   45   1.493E+02                                       2.602E+03   1.070E+01 
   46   1.444E+02   3.699E+01                           1.004E+03   4.794E+00 
   47   1.192E+02   2.810E+01                           7.474E+02   3.571E+00 
   48   1.087E+02                                       2.054E+03   8.409E+00 
   49   8.774E+01                                       2.221E+03   1.806E+01 
   50   7.238E+01                                       3.110E+03   1.949E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
