 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   9.972E-01                                       6.928E+03   1.508E+01 
    2   1.146E+01                                       3.255E+03   7.102E+00 
    3   9.385E+01   6.552E+00   1.748E+00               1.653E+02   1.786E-01 
    4   1.867E+02   2.074E+01   3.394E+00   1.834E-01   3.690E+00   2.829E-03 
    5   2.086E+02   2.130E+01   3.392E+00   1.809E-01   1.706E+01   1.282E-02 
    6   1.803E+02   2.078E+01   3.398E+00               2.858E+02   3.072E-01 
    7   1.948E+02   2.123E+01   3.394E+00   1.807E-01   3.483E+01   2.589E-02 
    8   1.923E+02   2.102E+01   3.391E+00   1.795E-01   3.186E+01   2.392E-02 
    9   1.844E+02   2.072E+01   3.391E+00   1.784E-01   3.050E+01   2.295E-02 
   10   1.683E+02   1.990E+01   3.390E+00   1.776E-01   2.961E+01   2.230E-02 
   11   1.339E+02   1.818E+01   3.388E+00   1.771E-01   2.216E+01   1.667E-02 
   12   1.467E+02   1.815E+01   3.384E+00   1.758E-01   1.747E+01   1.311E-02 
   13   1.348E+02   1.735E+01   3.381E+00   1.744E-01   2.639E+01   1.964E-02 
   14   1.557E+02   1.768E+01   3.389E+00               2.579E+02   2.702E-01 
   15   1.466E+02   1.723E+01   3.379E+00   1.737E-01   2.774E+01   2.051E-02 
   16   1.373E+02   1.630E+01   3.373E+00   1.730E-01   3.104E+01   2.285E-02 
   17   1.317E+02   1.620E+01   3.373E+00   1.736E-01   2.249E+01   1.633E-02 
   18   1.303E+02   1.586E+01   3.371E+00   1.728E-01   2.985E+01   2.212E-02 
   19   1.363E+02   1.588E+01   3.369E+00   1.732E-01   3.069E+01   2.265E-02 
   20   1.531E+02   1.646E+01   3.370E+00   1.741E-01   2.426E+01   1.754E-02 
   21   1.389E+02   1.591E+01   3.369E+00   1.750E-01   1.440E+01   1.057E-02 
   22   1.334E+02   1.574E+01   3.368E+00   1.736E-01   1.636E+01   1.207E-02 
   23   1.309E+02   1.585E+01   3.370E+00   1.729E-01   2.794E+01   2.073E-02 
   24   1.348E+02   1.639E+01   3.372E+00   1.728E-01   2.979E+01   2.209E-02 
   25   1.450E+02   1.716E+01   3.376E+00   1.737E-01   3.048E+01   2.258E-02 
   26   1.486E+02   1.768E+01   3.379E+00   1.744E-01   2.913E+01   2.179E-02 
   27   1.448E+02   1.798E+01   3.382E+00   1.754E-01   2.934E+01   2.200E-02 
   28   1.312E+02   1.805E+01   3.387E+00   1.760E-01   3.077E+01   2.292E-02 
   29   1.566E+02   1.977E+01   3.391E+00   1.769E-01   2.955E+01   2.218E-02 
   30   1.585E+02   2.030E+01   3.393E+00   1.778E-01   2.904E+01   2.145E-02 
   31   1.885E+02   2.170E+01   3.393E+00   1.803E-01   1.564E+01   1.167E-02 
   32   2.061E+02   2.232E+01   3.394E+00   1.842E-01   1.957E+00   1.504E-03 
   33   1.866E+02   2.137E+01                           3.500E+03   1.700E+01 
   34   1.956E+02                                       2.595E+03   1.050E+01 
   35   1.964E+02   2.799E+01                           1.108E+03   5.337E+00 
   36   1.904E+02   2.355E+01                           2.739E+03   1.327E+01 
   37   1.810E+02   2.308E+01   3.398E+00               3.302E+02   3.542E-01 
   38   1.762E+02   2.247E+01   3.398E+00   1.816E-01   1.053E+01   7.868E-03 
   39   1.731E+02   2.020E+01   3.392E+00               3.724E+02   3.852E-01 
   40   1.550E+02   1.804E+01   3.381E+00   1.763E-01   1.812E+01   1.350E-02 
   41   1.470E+02   1.728E+01   3.376E+00   1.765E-01   1.360E+01   1.012E-02 
   42   1.319E+02   1.645E+01   3.374E+00   1.775E-01   6.535E+00   4.949E-03 
   43   1.169E+02   1.556E+01   3.371E+00   1.749E-01   1.934E+01   1.398E-02 
   44   1.320E+02                                       8.939E+03   2.482E+02 
   45   1.350E+02                                       2.602E+03   1.063E+01 
   46   1.621E+02   4.033E+01                           1.007E+03   4.804E+00 
   47   1.583E+02   3.230E+01                           7.504E+02   3.574E+00 
   48   1.265E+02                                       2.061E+03   8.365E+00 
   49   8.924E+01                                       2.221E+03   1.803E+01 
   50   7.516E+01                                       3.122E+03   1.954E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
