 Concentration in water(filtered)-[Bq/m3], in sediment (dry)-[Bq/t]                            
Cs-137
  Initial concentrations for REGIONAL and LOCAL boxes
  Planar 
 number  1Layer      2Layer      3Layer      4Layer
                                                        sed-top    sed-mid                                                                          
    1   1.058E+00                                       6.755E+03   1.484E+01 
    2   9.620E+00                                       2.651E+03   5.578E+00 
    3   7.772E+01   2.602E+00   1.173E+00               1.049E+02   1.096E-01 
    4   1.617E+02   2.170E+01   3.218E+00   3.324E-01   6.775E+00   5.252E-03 
    5   1.670E+02   2.099E+01   3.214E+00   3.309E-01   2.948E+01   2.279E-02 
    6   1.696E+02   2.330E+01   3.222E+00               2.779E+02   3.064E-01 
    7   1.802E+02   2.299E+01   3.219E+00   3.306E-01   5.676E+01   4.384E-02 
    8   1.913E+02   2.243E+01   3.215E+00   3.298E-01   5.663E+01   4.368E-02 
    9   1.697E+02   2.090E+01   3.213E+00   3.291E-01   5.646E+01   4.348E-02 
   10   1.489E+02   1.972E+01   3.212E+00   3.287E-01   5.592E+01   4.303E-02 
   11   1.244E+02   1.820E+01   3.209E+00   3.280E-01   4.190E+01   3.221E-02 
   12   1.313E+02   1.803E+01   3.207E+00   3.272E-01   3.323E+01   2.551E-02 
   13   1.145E+02   1.700E+01   3.205E+00   3.264E-01   4.918E+01   3.769E-02 
   14   1.508E+02   1.818E+01   3.208E+00               2.255E+02   2.480E-01 
   15   1.388E+02   1.765E+01   3.204E+00   3.256E-01   5.018E+01   3.840E-02 
   16   1.425E+02   1.750E+01   3.201E+00   3.252E-01   5.552E+01   4.245E-02 
   17   1.363E+02   1.725E+01   3.202E+00   3.256E-01   3.635E+01   2.783E-02 
   18   1.277E+02   1.670E+01   3.198E+00   3.252E-01   5.550E+01   4.245E-02 
   19   1.414E+02   1.692E+01   3.197E+00   3.255E-01   5.497E+01   4.208E-02 
   20   1.603E+02   1.760E+01   3.198E+00   3.259E-01   3.760E+01   2.880E-02 
   21   1.373E+02   1.671E+01   3.197E+00   3.265E-01   2.367E+01   1.815E-02 
   22   1.448E+02   1.693E+01   3.197E+00   3.257E-01   2.896E+01   2.217E-02 
   23   1.469E+02   1.712E+01   3.198E+00   3.252E-01   5.210E+01   3.985E-02 
   24   1.460E+02   1.724E+01   3.199E+00   3.253E-01   5.552E+01   4.247E-02 
   25   1.401E+02   1.717E+01   3.200E+00   3.256E-01   5.561E+01   4.256E-02 
   26   1.279E+02   1.691E+01   3.202E+00   3.262E-01   5.574E+01   4.270E-02 
   27   1.392E+02   1.760E+01   3.205E+00   3.266E-01   5.586E+01   4.283E-02 
   28   1.316E+02   1.793E+01   3.208E+00   3.272E-01   5.596E+01   4.294E-02 
   29   1.523E+02   1.978E+01   3.211E+00   3.279E-01   5.533E+01   4.252E-02 
   30   1.696E+02   2.137E+01   3.214E+00   3.284E-01   4.846E+01   3.727E-02 
   31   1.810E+02   2.355E+01   3.216E+00   3.298E-01   2.622E+01   2.022E-02 
   32   1.999E+02   2.513E+01   3.219E+00   3.324E-01   3.572E+00   2.769E-03 
   33   1.636E+02   2.394E+01                           3.549E+03   1.769E+01 
   34   1.096E+02                                       1.712E+03   8.060E+00 
   35   1.656E+02   2.998E+01                           1.123E+03   5.568E+00 
   36   1.718E+02   2.549E+01                           2.779E+03   1.383E+01 
   37   1.598E+02   2.388E+01   3.218E+00               3.211E+02   3.533E-01 
   38   1.523E+02   2.183E+01   3.214E+00   3.307E-01   1.707E+01   1.319E-02 
   39   1.589E+02   1.947E+01   3.209E+00               3.105E+02   3.414E-01 
   40   1.608E+02   1.779E+01   3.203E+00   3.272E-01   3.219E+01   2.471E-02 
   41   1.511E+02   1.725E+01   3.199E+00   3.272E-01   2.376E+01   1.824E-02 
   42   1.372E+02   1.671E+01   3.198E+00   3.271E-01   1.223E+01   9.392E-03 
   43   1.493E+02   1.713E+01   3.197E+00   3.260E-01   2.946E+01   2.257E-02 
   44   1.195E+02                                       5.668E+03   1.891E+02 
   45   1.113E+02                                       1.672E+03   8.027E+00 
   46   1.101E+02   4.094E+01                           1.037E+03   5.124E+00 
   47   1.044E+02   3.052E+01                           7.474E+02   3.714E+00 
   48   7.382E+01                                       1.756E+03   7.832E+00 
   49   6.044E+01                                       2.068E+03   1.678E+01 
   50   2.734E+02                                       3.559E+03   1.925E+01 
   51   0.000E+00                                       0.000E+00   0.000E+00
   52   0.000E+00                                       0.000E+00   0.000E+00
   53   0.000E+00                                       0.000E+00   0.000E+00
   1986.75000000000     
